,Videos,Videotitel,Veröffentlichungszeitpunkt des Videos,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Geteilte Inhalte,Kommentare hinzugefügt,„Mag ich“ und „Mag ich nicht“ im Vergleich (%),„Mag ich nicht“-Bewertungen,Likes,Verlorene Abonnenten,Gewonnene Abonnenten,Durchschnittliche Wiedergabedauer in Prozent (%),Im Feed angezeigt,Aufrufe,Wiedergabezeit (Stunden),Geschätzter Umsatz (EUR),Durchschnittliche Wiedergabedauer,Impressionen,Klickrate der Impressionen (%)
401,KdouGcL9s7U,"""Buchhaltung können wir"" - Bundespräsident scherzt - und ehrt Biden auf Englisch | ntv",2024-10-18,29.0,1.0,0.0,20.0,42.0,65.79,26.0,50.0,1.0,3.0,28.48,0.0,2757.0,160.9447,,0:03:30,63908.0,2.96
402,rr92gZgA6ag,Wichtige Versorgung aus der Luft: Drohnen bringen in der Ukraine nicht nur den Tod | ntv,2024-11-15,29.0,0.0,0.0,4.0,16.0,88.0,6.0,44.0,0.0,0.0,46.43,0.0,3090.0,60.1777,3.437,0:01:10,57844.0,3.68
403,353hJInpL8g,"Die Wirtschaft hat ""richtig, richtig Blut verloren"" | ntv #beisenherz",2024-09-24,28.0,4.0,0.0,68.0,94.0,82.57,42.0,199.0,1.0,32.0,27.36,0.0,20984.0,4146.2494,78.845,0:11:51,296991.0,4.44
404,BT9eBYTQfmo,"Ökonom Lars Feld besorgt: ""Unternehmen sehen sich toxischem Gemisch gegenüber""  | ntv",2024-10-10,28.0,1.0,0.0,12.0,20.0,95.24,2.0,40.0,1.0,4.0,32.78,0.0,7537.0,144.1389,7.434,0:01:08,79680.0,3.63
405,CYIaYdRx-D8,"""Das BSW ist eine große Blackbox"": SPD-Politikerin im Frühstart | ntv",2024-09-23,28.0,3.0,0.0,22.0,98.0,58.13,67.0,93.0,1.0,7.0,34.41,0.0,5722.0,256.4981,11.473,0:02:41,398283.0,1.05
406,ChYbf3ll118,Heilmann teilt Parteilinie nicht: Koalitionsfrage bringt CDU-Politiker ins Schwimmen | ntv,2024-11-08,28.0,0.0,0.0,15.0,32.0,85.11,7.0,40.0,0.0,2.0,55.31,0.0,5070.0,134.7627,10.843,0:01:35,66629.0,5.66
407,Tk0IvEEfcF8,"Abschied von Köln - Podolski: ""Habe immer betont, dass ich einer vom FC bin"" | ntv",2024-10-11,28.0,0.0,0.0,22.0,15.0,95.28,6.0,121.0,0.0,16.0,45.61,0.0,10136.0,215.7439,17.372,0:01:16,126404.0,5.44
408,TqAX8nKT9aE,Diese Krankenkassen bieten das beste Gesamtpaket | ntv Service,2024-09-28,28.0,0.0,0.0,80.0,13.0,95.71,6.0,134.0,1.0,12.0,37.24,0.0,17578.0,505.4487,34.866,0:01:43,160127.0,5.1
409,ExNaxaPpHaQ,Selbst Sotheby's geschockt: Krypto-Gründer kauft Banane für sechs Millionen Dollar | ntv,2024-11-21,27.0,0.0,0.0,393.0,42.0,75.0,13.0,39.0,2.0,6.0,37.8,0.0,12522.0,216.9152,17.531,0:01:02,50358.0,6.07
410,VQxfrm0YSh0,Nervenkitzel im Hollands größtem Freizeitpark Efteling | ntv-Service-Reportage,2024-08-21,27.0,0.0,0.0,15.0,2.0,100.0,0.0,33.0,0.0,4.0,56.59,0.0,1536.0,117.5893,9.125,0:04:35,15684.0,6.69
411,3BHzlJ2Z1KY,"Katastrophenforscher erklärt: ""Extreme Hochwasser kann man technisch nicht abfedern"" | ntv",2024-10-31,26.0,2.0,1.0,5.0,23.0,88.24,4.0,30.0,2.0,2.0,44.54,0.0,2064.0,51.0765,3.585,0:01:29,49291.0,2.84
412,UTJ85K39gPc,Tausende auf dem Weg nach Mexiko: Trumps Abschiebepläne schrecken Migranten nicht ab | ntv,2024-11-24,26.0,0.0,0.0,39.0,79.0,87.8,20.0,144.0,1.0,5.0,50.86,0.0,13353.0,430.1258,23.561,0:01:55,218345.0,4.34
413,VN-Xcrpd7QI,"Blufarb: Netanjahu gibt wohl ""grünes Licht"" für Feuerpause-Deal | ntv",2024-11-25,26.0,0.0,0.0,15.0,36.0,90.57,5.0,48.0,1.0,3.0,51.95,0.0,2814.0,65.3759,7.153,0:01:23,81221.0,2.32
414,VcccnBdLM2c,"""Ukraine geht von der Offensive in die Defensive"": Reisner zu erobertem Kursk-Areal | ntv",2024-08-20,26.0,2.0,0.0,12.0,13.0,62.5,3.0,5.0,0.0,9.0,31.18,0.0,7018.0,278.3732,9.167,0:02:22,138018.0,3.22
415,cMYEQg97Ex4,"""Werden Olaf Scholz mit breitem Votum ausstatten"": Matthias Miersch im Frühstart | ntv",2024-11-25,26.0,0.0,0.0,16.0,97.0,50.82,60.0,62.0,0.0,3.0,43.04,0.0,4947.0,282.0984,15.773,0:03:25,142153.0,2.35
416,hNhebGdHWtI,"Trump und Musk - ""Aus Trumps Sicht ein Genie zu viel"" | ntv #beisenherz",2024-11-19,26.0,0.0,0.0,158.0,232.0,73.2,182.0,497.0,4.0,150.0,31.09,0.0,49375.0,10880.7752,228.221,0:13:13,644431.0,4.98
417,r4ceidDc62o,"""Lindner hat im Grunde Rausschmiss beim Kanzler bestellt"" - Hillje: zwei Deutungsstreitereien  | ntv",2024-11-07,26.0,1.0,17.0,4.0,18.0,64.29,15.0,27.0,0.0,1.0,47.11,0.0,2155.0,80.931,4.6,0:02:15,50347.0,2.69
418,UNZ3LEg4yHY,"Häufigste Bett-Frage der Deutschen: Wie viel Sex ist ""normal""? | ntv",2024-10-28,25.0,1.0,0.0,32.0,20.0,89.06,7.0,57.0,2.0,9.0,28.81,1.0,7168.0,94.0759,7.476,0:00:47,18034.0,11.83
419,DwVGClZyeyY,Warum Filialen einer Kette unterschiedliche Preise haben. | ntv,2024-09-27,24.0,0.0,0.0,44.0,29.0,96.19,4.0,101.0,1.0,13.0,29.99,0.0,13041.0,343.3122,17.923,0:01:34,116159.0,3.59
420,IIU-h3E7Ydc,"AfD-Politiker im Frühstart: Koalition mit BSW wäre ""das Ende der CDU"" | ntv",2024-08-22,24.0,10.0,0.0,25.0,53.0,94.87,8.0,148.0,2.0,25.0,31.25,0.0,12884.0,659.8572,33.038,0:03:04,196497.0,3.11
421,LrWeJabWJKg,Chinas Geheim-Polizisten operieren weiter in Deutschland - RTL/ntv-Reporter gerät ins Visier | ntv,2024-11-29,24.0,1.0,1.0,79.0,65.0,96.33,9.0,236.0,0.0,14.0,41.65,0.0,12111.0,1076.0561,10.219,0:05:19,152956.0,5.38
422,NabqmuMJJKo,Menschenrechtler entsetzt: Teherans Regime tötet Deutsch-Iraner Djamshid Sharmahd | ntv,2024-10-29,24.0,0.0,0.0,38.0,152.0,72.92,26.0,70.0,1.0,3.0,65.72,0.0,7801.0,115.3545,11.579,0:00:53,195774.0,2.58
423,WT9j8zmSrK4,"Kühnerts ""Talent ist Seltenheit in Deutschland"" - Politikberater Hillje zu Schock-Rücktritt | ntv",2024-10-07,24.0,1.0,0.0,25.0,216.0,56.44,98.0,127.0,1.0,8.0,32.5,0.0,14123.0,696.1681,26.48,0:02:57,136450.0,5.84
424,E0X5tEI2FPw,Grüne legen zu - FDP fällt auf Linke-Niveau | ntv Trendbarometer,2024-10-22,23.0,0.0,0.0,14.0,98.0,59.52,51.0,75.0,2.0,6.0,31.54,0.0,7202.0,429.1237,25.972,0:03:34,135121.0,3.99
425,XhQzxhdqsA4,"Unicredit greift nach Commerzbank - Reitz: ""Umfeld des Finanzministers ist stinksauer"" | ntv",2024-09-13,23.0,3.0,0.0,42.0,28.0,92.31,5.0,60.0,0.0,4.0,31.14,0.0,18941.0,299.8064,11.536,0:00:56,98934.0,4.45
426,imMuZN5tu1A,"Ein Jahr AfD-Landrat in Sonneberg - was sagen die Wähler? - ""Würde ihn nicht wieder wählen""  | ntv",2024-05-24,23.0,0.0,0.0,13.0,18.0,51.11,22.0,23.0,0.0,1.0,61.59,0.0,2981.0,65.786,4.918,0:01:19,48873.0,4.56
427,vstvRwdyGO0,"""Geheimer ""Operationsplan Deutschland betrifft uns alle"" - Generalleutnant: ""Ab 2025 in Kraft  | ntv",2024-07-02,23.0,2.0,0.0,620.0,50.0,68.89,28.0,62.0,0.0,20.0,33.33,0.0,10351.0,909.4112,36.551,0:05:16,54479.0,6.9
428,MNlCfrr_jRY,"""Wahlkampf mit Polizistenmord ist hoch unanständig"" - Klingbeil und Weidel zu Migration | ntv",2024-06-09,22.0,3.0,0.0,10.0,13.0,70.0,3.0,7.0,1.0,5.0,41.51,0.0,4883.0,175.6517,9.465,0:02:09,95392.0,3.82
429,c1aHKaz5cu0,"Habeck zu Digitalisierung und KI: ""Wird sich jetzt enorm viel entwickeln in Deutschland"" | ntv",2024-10-22,22.0,0.0,0.0,7.0,52.0,48.33,31.0,29.0,1.0,2.0,45.35,0.0,1727.0,40.0337,5.072,0:01:23,30451.0,3.74
430,txrAm_GWF80,Blufarb: LKW rast in Bus und Haltestelle nahe Tel Aviv - Fahrer stieg wohl mit Messer aus  | ntv,2024-10-27,22.0,2.0,0.0,17.0,83.0,75.0,25.0,75.0,0.0,9.0,38.04,0.0,9494.0,258.7945,13.275,0:01:38,396113.0,1.55
431,yTpRhrr8Ywk,Kanonenfutter für die Front - So rekrutiert Russland Söldner in Afrika | ntv,2024-03-09,22.0,1.0,0.0,23.0,0.0,100.0,0.0,20.0,1.0,8.0,46.38,0.0,5510.0,246.348,10.12,0:02:40,51628.0,7.36
