Videos;Videotitel;Veröffentlichungszeitpunkt des Videos;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Geteilte Inhalte;Kommentare hinzugefügt;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Likes;Verlorene Abonnenten;Gewonnene Abonnenten;Durchschnittliche Wiedergabedauer in Prozent (%);Im Feed angezeigt;Aufrufe;Wiedergabezeit (Stunden);Geschätzter Umsatz (EUR);Durchschnittliche Wiedergabedauer;Impressionen;Klickrate der Impressionen (%);Länge des Videos (sek);Thema;Bewertung Titel;Gestaltung Thumbnail
azDjVJvRaS4;"""Hätte damit Amtseid verletzt"": Ampel-Aus: Lindner erklärt Grund für seine Entlassung | ntv";07.11.2024;12930;100;270;6110;4710;8861;1090;8480;40;440;6225;0;462420;1823127;98964;00:02:21;11847850;279;;;;
_Kvl3-k3vLM;"""Ich habe gelitten"" - Lindner rechnet mit Ampel ab - und reißt eigene Fehler an | ntv";07.11.2024;6410;340;0;6980;6100;8628;1810;11380;70;940;3877;10;726810;6394837;251765;00:05:16;26326870;18;;;;
EVNix_9HbpY;"Habeck nennt Lindner-Aus ""so folgerichtig wie unnötig"" - Grüne zum Bruch der Ampel  | ntv";07.11.2024;3290;90;170;3450;6350;4556;3250;2720;20;230;4558;0;248700;12627582;54453;00:03:02;3399770;512;;;;
E7f6E03mqxQ;"""Stimmung war sehr gefasst"" - Grünen-Noch-Chef zum Ampel-Ende | ntv";07.11.2024;360;20;0;110;1140;5315;520;590;20;30;2466;0;109470;3441849;1273;00:01:53;2873690;146;;;;
ZZDtF-6sDPI;"Scholz entlässt Lindner, ""um Schaden vom Land abzuwenden"" - Statement in ganzer Länge  | ntv";07.11.2024;350;30;30;1640;1600;6452;440;800;0;70;3321;0;73450;5814456;24835;00:04:44;1522310;327;;;;
 -nCM2pmYKTg;"SPD setzt jetzt auf ""Vernunft der demokratischen Kräfte"" - Michael Roth im Frühstart  | ntv";07.11.2024;140;10;0;90;880;3243;500;240;0;20;3574;0;23080;1047011;4036;00:02:43;488250;351;;;;
2vF2B0Y0MYg;"Ampel-Bruch nach Trump-Wahl ""macht fassungslos"" - Stillstand in Berlin befürchtet  | ntv";07.11.2024;5310;100;190;1480;3650;7241;2290;6010;20;330;5605;0;414540;1529628;77418;00:02:12;5552170;464;;;;
dscdqGeZzFY;"Schlüsselposition im Weißen Haus: Trump verkündet mit ""Ice Lady"" erste Personalie | ntv";08.11.2024;2700;0;0;410;590;9422;100;1630;20;140;6204;0;295720;4586516;3464;00:00:55;2647940;751;;;;
h59kv-yUlRs;"Merz zum Neuwahl-Zeitplan: Scholz' Verhalten ""wird Lage des Landes nicht gerecht"" | ntv";08.11.2024;5830;0;0;2010;7710;8369;1920;9850;30;950;5035;0;657960;221758;162514;00:02:01;29019470;167;;;;
axFjD_AfX1I;DIW-Chef im Klima-Labor: Sollten wir das Heizungsgesetz behalten? | ntv;08.11.2024;390;0;0;60;500;480;390;360;30;40;5907;0;35380;5689;5339;00:00:57;446270;496;;;;
D7rLID7lkxE;"Weidel nach Ampel-Aus: AfD hat sich ""auf Szenario der Neuwahlen vorbereitet"" | ntv";08.11.2024;25980;0;0;12620;19440;9593;4150;97880;280;4220;5548;0;2520570;110715222;69457;00:02:38;39583790;33;;;;
aM-ICvD-stA;"Kreml-Chef ""beeindruckt"": Donald Trump ""ist ein mutiger Mann"" | ntv";08.11.2024;4790;0;0;8200;5030;9428;1170;19280;140;1300;605;0;1214570;29594926;229994;00:01:27;20225200;426;;;;
lelw0UJUleU;"E-Auto-Branche als Warnung - Fratzscher mahnt: ""Klimaschutz schützt Wohlstand"" | ntv Klimalabor";08.11.2024;60;0;0;100;290;4857;180;170;0;10;4855;0;11000;160211;1134;00:00:52;344410;213;;;;
58GynFCO4XU;Fed senkt Zinsen weiter: Zwischen FED-Chef Powell und Trump bahnt sich ein Machtkampf an | ntv;08.11.2024;160;0;0;300;90;9524;20;400;10;30;2644;0;491400;4186457;21216;00:00:30;768110;48;;;;
ChYbf3ll118;Heilmann teilt Parteilinie nicht: Koalitionsfrage bringt CDU-Politiker ins Schwimmen | ntv;08.11.2024;280;0;0;150;320;8511;70;400;0;20;5531;0;50700;1347627;10843;00:01:35;666290;566;;;;
HbzUu7zXgJk;"Jens Spahn im Frühstart: ""Olaf Scholz hat fertig"" | ntv";11.11.2024;1350;0;0;630;4190;7983;1190;4710;10;400;5133;0;360770;32406536;102111;00:05:23;4902320;536;;;;
EewcWZ0QLg0;Vertrauensfrage vor Weihnachten? - Scholz siegessicher, dass SPD wieder stärkste Kraft wird | ntv;11.11.2024;8760;0;0;3280;12260;6702;3420;6950;40;470;585;0;755900;11915542;1077;00:00:56;24552420;216;;;;
3Wp1QawdQ5I;US-Außenpolitiker angespannt: Trump telefoniert mit Putin und Scholz zum Ukraine-Krieg | ntv;11.11.2024;13740;0;0;1100;1970;9149;510;5480;50;510;5489;0;887650;1678214;112736;00:01:08;7335330;847;;;;
mzv_QZHt7zU;Streng überwachte Touristenreise: Seltene Einblicke - Russin filmt in Nordkorea | ntv;11.11.2024;11200;0;0;11450;6940;9015;5610;51370;260;3920;5268;0;5781450;252965273;1420084;00:02:37;71090370;579;;;;
2Pp9iYtRoDA;Reichster Mann jetzt noch reicher: Welche Rolle spielt Elon Musk in der Trump-Regierung? | ntv;11.11.2024;1890;0;0;970;840;8947;200;1700;10;110;6562;0;183200;3539462;27858;00:01:09;1831970;625;;;;
MMGN8rvhVCU;Jäger: Zweite Amtszeit von Trump wird massiv anders | ntv;11.11.2024;2550;170;0;1090;1040;9245;560;6860;10;520;4646;0;826810;28919617;126986;00:02:05;6021400;629;;;;
jK-FRY8RJDs;ntv erklärt Ablauf: Termin für Neuwahlen gefunden - und was passiert nun? | ntv;12.11.2024;2600;0;0;910;2660;7625;1430;4590;70;830;5304;0;689420;12696391;141833;00:01:06;47395090;109;;;;
qzlv0UJGV1k;"Munz zu Rätselraten um Telefonat: ""Kreml sagt: Das seien Fakes. Trump widerspricht nicht"" | ntv";12.11.2024;2810;70;0;620;1130;8276;750;3600;30;300;5476;0;415620;12644976;94431;00:01:49;7544990;408;;;;
Wee0G9shAAk;"""Scholz hat den geordneten Neuanfang ausgeschlagen"": FDP-Fraktionschef im Frühstart | ntv";12.11.2024;810;0;0;420;1670;8481;550;3070;30;230;2969;0;294500;11293057;52143;00:02:18;3400760;395;;;;
Gly9Sk1_oVM;"Lauterbach warnt vor ""Fiasko"": ""Historischer Fehler, dass wir Ampel aufgelöst haben"" | ntv";12.11.2024;470;0;0;970;3070;5938;1450;2120;40;130;4358;0;162080;7023561;4209;00:02:36;2760950;441;;;;
f5Hnhp23AKc;"Reisner zu Trumps Ukraine-Plänen: Putin ""wird weiter eskalieren"" vor US-Machtwechsel | ntv";12.11.2024;4180;0;0;3960;3630;8036;4400;18000;80;1270;3368;0;2338830;79652042;334336;00:02:02;21584000;443;;;;
ZBvIqWtY8vY;Haftbefehl erlassen: 17-Jähriger soll Weihnachtsmarkt-Anschlag geplant haben | ntv;12.11.2024;740;0;0;2020;2910;8997;360;3230;10;170;6593;0;121170;2196862;2483;00:01:05;3519950;255;;;;
Ik2AYnvOWTA;Lange Schlangen und ein Einbruch: Hype um Dubai-Schokolade treibt bizarre Blüten | ntv;12.11.2024;480;0;0;6690;1370;6418;480;860;10;80;6562;0;170110;3845022;4341;00:01:21;2214170;448;;;;
dT2g44QAiwY;Ukraine in Bedrängnis: Generalleutnant erwartet russische Offensive im Winter | ntv;12.11.2024;1750;0;0;1530;1610;7935;1790;6880;10;420;3641;0;679470;52025919;193678;00:04:35;9029160;46;;;;
FgOH-5sJ0s4;SPD stagniert nach Ampel-Crash, FDP und Grüne legen zu | ntv #Trendbarometer;12.11.2024;310;0;0;350;1640;7667;630;2070;20;250;1725;0;572600;26746792;102257;00:02:48;3597980;522;;;;
xxykF1Rp0r0;"Merz verspottet Scholz: ""Trump wird Sie wie ein Leichtgewicht abtropfen lassen"" | ntv";13.11.2024;17140;0;0;1860;5940;6563;2550;4870;40;490;6139;0;470690;13002985;91489;00:01:39;30370650;117;;;;
Q7wGo8VqYJE;Wegen Raserei und Autorennen: Experte fordert Führerschein für Männer erst ab 26 | ntv;13.11.2024;210;0;0;470;1200;6389;390;690;10;70;2699;0;381590;2603759;18241;00:00:24;646460;31;;;;
D_6nfIlYO0E;"Dirk Wiese im ntv Frühstart: Auch GroKo als Dreierkonstellation ""nicht immer einfach"" | ntv";13.11.2024;20;0;0;120;330;600;160;240;0;0;3234;0;16830;630429;2817;00:02:14;604880;19;;;;
IS1GOg3DRhs;Lacher über Habecks Fliegerpanne: Baerbock kontert mit Teamplay-Seitenhieb auf die Union | ntv;13.11.2024;810;0;0;1460;1610;6557;630;1200;10;70;6904;0;116110;1915116;19782;00:00:59;1076110;723;;;;
