video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
eLp__cMTyiQ;LIVE: Konstituierende Sitzung des Landtags Thüringen;26.09.2024 16:15;478;45099;132,0;27,62;10,0;0;20496;85;94;29;0,0;0,1;2,7;0,8;5,9;1,7;10,3;3,3;12,0;6,9;17,6;12,6;26,0;;;3662,0;0;0;0;94;0;117559,0;7,18;Live;7,5;2
fVq3yTEkqyg;LIVE: Kamala Harris spricht bei Sportlerehrung im Weißen Haus;22.07.2024 17:53;625;10491;173,0;27,74;2,0;0;3631;35;8;7;0,0;;2,5;0,9;7,1;2,9;11,9;3,5;13,8;6,8;20,3;10,3;20,1;;;187,0;0;0;0;8;0;48527,0;5,17;Live;6,5;2
5zPAT1Pqs0U;LIVE: Statement Wirtschaftsminister Robert Habeck vor Abflug nach China;19.06.2024 12:38;591;20924;163,0;27,74;2,0;1;7658;95;106;54;0,0;;0,9;;5,6;1,6;9,2;2,7;10,6;8,0;19,3;17,0;25,0;;;468,0;0;0;0;106;0;83509,0;5,64;Live;6,5;3
7wj1rZoLmlI;LIVE: Pressekonferenz zum Hochwasser in Dresden;16.09.2024 15:45;864;190562;240,0;27,89;37,0;0;47456;303;20;83;0,0;0,3;1,6;1,2;5,8;3,5;13,3;4,3;14,0;7,1;18,4;9,6;20,8;;;7133,0;0;0;0;20;0;375460,0;8,57;Live;8,5;2
t0O_s2BvsM8;Putins Krieg und Trumps Comeback? Der ntv Talk live von der Münchner Sicherheitskonferenz;17.02.2024 14:56;2578;152292;726,0;28,18;24,0;9;12579;173;52;56;0,0;;0,7;0,2;3,2;2,0;10,3;3,3;16,3;6,4;23,0;8,8;25,8;;;893,0;0;0;0;52;0;171311,0;4,38;Live;8,5;3
3A_AwKFxQFs;LIVE: Statement Verteidigungsminister Pistorius;05.03.2024 10:38;1157;6848;330,0;28,57;6,0;3;1243;37;22;13;0,0;;;;5,3;;17,2;;15,8;4,4;18,0;10,5;28,9;;;73,0;0;0;0;22;0;26579,0;2,63;Live;6,5;1
e1rXiUlGoPk;LIVE: Statements von Merz und Dobrindt;15.10.2024 15:04;665;15700;190,0;28,61;1,0;1;4952;40;25;7;0,0;;1,6;;5,2;1,3;9,5;2,9;10,8;8,1;21,3;12,5;26,8;;;341,0;0;0;0;25;0;50009,0;4,78;Live;6,5;3
ge1jIc8wBIQ;Europawahl 2024 LIVE: Die Grünen ordnen ihre Verluste ein;10.06.2024 14:31;786;30116;225,0;28,64;11,0;3;8027;31;159;23;0,0;0,4;4,0;1,0;10,2;2,0;14,7;3,6;14,2;5,7;19,7;7,5;16,9;;;513,0;0;0;0;159;0;77652,0;4,88;Live;7,5;3
mo43Y-mQ9yk;LIVE: Statement der CDU/CSU Fraktion von Friedrich Merz;09.04.2024 15:05;833;8761;238,0;28,66;3,0;2;2202;28;18;5;0,0;;;;4,4;;9,7;;14,5;5,9;26,3;13,9;25,3;;;182,0;0;0;0;18;0;27864,0;5,33;Live;6,5;3
tlrL5IovlWE;Bundestag LIVE: Aktuelle Stunde zum Tod von Nawalny;21.02.2024 15:49;719;19594;207,0;0,0;20,0;1;5658;135;22;38;0,0;;;;1,9;1,5;4,0;3,1;3,4;12,1;7,9;48,6;17,5;;;1076,0;0;0;0;22;0;86256,0;4,13;Live;7,5;3
KGMEPx8Jy2c;"""LIVE: Pressekonferenz zum Start der """"Mission Silberlocke""""""";20.11.2024 11:18;986;22973;285,0;28,93;5,0;0;4833;88;24;80;0,0;;8,9;2,1;14,8;3,5;14,8;3,1;10,9;5,0;14,2;7,4;15,4;;;589,0;0;0;0;24;0;101271,0;3,1;Live;6,5;3
l7t9eUM26c0;LIVE: Pressekonferenz mit Friedrich Merz zu den Ergebnissen der Landtagswahl in Brandenburg;23.09.2024 13:20;951;67940;277,0;29,16;12,0;1;14699;87;64;32;0,0;;1,8;0,6;4,8;1,4;9,0;3,1;10,8;6,8;18,9;13,6;29,3;;;1113,0;0;0;0;64;0;103622,0;7,51;Live;8,5;3
D9EapdNb4vA;LIVE: Fraktionsstatements FDP;25.06.2024 13:15;528;8000;154,0;0,0;0,0;2;3113;56;19;16;0,0;;;;4,3;;7,2;3,3;10,0;8,3;19,0;17,9;30,1;;;40,0;0;0;0;19;0;36078,0;4,18;Live;6,5;3
