video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
Hcam0A2xhAA;Taiwan: Armee demonstriert Abwehrbereitschaft gegen China | #ntv #shorts #taiwan;22.07.2024 12:42;58;1747;24,0;42,58;0,0;0;4246;45;6;5;3,0;;3,6;;13,0;;15,9;;17,7;1,0;23,6;1,8;23,4;;;180,0;0;0;0;6;6846;13262,0;3,74;Krieg;7,0;2
v0cgInpOa-c;Homöopathie-Mittel sollen als Kassenleistung entfallen - Lauterbach sieht keine Beweise | ntv;12.01.2024 14:23;115;33287;49,0;42,68;31,0;0;40695;462;644;386;0,0;0,5;2,7;1,6;8,7;3,1;12,6;5,1;11,2;9,9;16,3;11,9;16,2;;;10184,0;0;0;0;641;0;1679326,0;1,24;Politik;6,0;2
Xi4y1CXSYBc;"""Siemens-Chef Busch: """"Ich hoffe, dass wir die richtigen Dinge tun, und zwar schnell genug"""" | ntv""";22.04.2024 13:07;307;1689;131,0;42,88;0,0;0;770;11;3;12;9,0;;21,2;;;;16,2;;13,7;;17,4;8,7;22,8;;;75,0;0;0;0;3;0;15606,0;2,81;Wirtschaft;6,0;3
oAtxeCFsYGo;Achtung Tiefflug! Hubschrauber fliegt zur Übung durch den Eiffelturm | #ntv #shorts #paris #olympics;04.06.2024 17:14;43;1842;18,0;42,97;2,0;2;5982;60;9;13;0,0;;7,2;;14,7;0,3;14,2;0,9;12,4;2,7;19,4;5,7;21,7;;7,0;328,0;0;0;0;9;10864;10933,0;3,38;Sonstiges;6,0;2
nUJWBotCsus;"""Weidel: AfD geht gegen """"albernes"""" Höcke-Urteil in Berufung | ntv""";16.05.2024 09:48;629;2200368;273,0;43,43;778,0;42;483274;14361;2368;2865;5589,0;0,3;2,1;0,9;5,4;1,8;9,9;3,2;12,3;7,0;19,6;11,5;25,7;;0,0;99976,0;1998;1;0;2368;0;5497825,0;3,51;Politik;8,0;3
HqZfqXLnOfM;"""""""Kann sein, dass es weiter bullish läuft"""" - Finanzcoach Carmen Mayer | ntv Geldanlage-Check""";10.04.2024 17:37;224;1089;97,0;43,69;0,0;0;668;5;5;7;7,0;;;;;;;;;;;;;;;201,0;2;0;0;5;0;15352,0;2,8;Wirtschaft;6,0;1
6biPXDEzt5c;Istanbul: Feuer bricht in historischem Markt aus | #ntv #shorts #istanbul;15.05.2024 13:48;53;724;23,0;44,58;1,0;0;1839;17;3;11;1,0;;4,2;;10,5;;16,7;;9,5;2,9;15,3;15,4;25,6;;;71,0;0;0;0;3;2923;6270,0;2,85;Sonstiges;7,0;2
mBxswD7lWgk;Polizei nimmt bei Großrazzia Luxus-Schleuser hoch | #ntv #shorts #razzia #polizei;17.04.2024 10:52;58;4072;26,0;44,86;4,0;0;9392;188;9;36;17,0;0,3;2,9;0,5;9,3;1,2;13,7;1,6;11,4;4,9;17,0;13,9;23,3;;;693,0;0;0;0;9;14929;22160,0;4,37;Sonstiges;7,0;1
5zr57ym8fv4;"""Illegale Rodung und Vertreibung: Spur """"schmutziger Baumwolle"""" führt bis zu H&M und Zara | ntv""";17.04.2024 09:23;89;486;40,0;45,42;0,0;0;722;9;0;6;5,0;;;;;;;;;;;;;;;58,0;4;0;0;0;0;20141,0;1,71;Wirtschaft;6,0;1
eglAhCyb9TA;Südafrika lagert Uran-Überreste von sieben Atombomben - Angst vor terroristischer Nutzung | ntv;31.08.2024 16:10;178;2483;81,0;45,55;1,0;2;1838;31;5;11;10,0;;3,3;;10,2;1,3;14,6;1,8;17,3;3,0;19,1;7,2;22,3;;;45,0;51;0;0;5;0;28190,0;4,46;Sonstiges;6,0;1
