durchschnittliche_wiedergabedauer;aufrufe;Klickrate der Impressionen (%)
101,0;78595;1,11
110,0;3322;4,4
408,0;51557;8,52
80,0;152411;9,8
68,0;18294;3,74
119,0;164008;2,95
135,0;1262;2,78
42,0;19061;1,15
73,0;28924;2,85
80,0;33194;9,27
193,0;13744;5,49
85,0;2462;3,27
65,0;2545;2,56
60,0;25945;9,11
170,0;30350;9,27
65,0;6267;2,07
60,0;47628;2,23
141,0;1025;2,41
196,0;17603;1,91
188,0;3832;2,47
64,0;5388;7,79
104,0;972;2,03
51,0;46101;2,92
179,0;1212;3,23
201,0;1297;3,74
55,0;1688;4,67
52,0;20996;9,07
226,0;1231;3,18
83,0;4316;3,86
83,0;14269;1,48
109,0;91741;8,67
155,0;7610;2,1
68,0;57454;6,11
275,0;67945;4,6
143,0;916;3,7
188,0;22664;2,35
75,0;34848;7,51
51,0;52955;1,54
86,0;62698;2,15
57,0;1024;1,55
151,0;10828;5,33
76,0;20286;3,95
137,0;151341;5,63
159,0;2342;2,32
206,0;20059;9,82
103,0;30971;4,6
89,0;1343;3,19
73,0;2145;1,05
80,0;100861;6,22
78,0;500235;5,98
186,0;71785;5,88
40,0;11411;1,41
76,0;10062;5,47
53,0;7130;2,47
57,0;64556;6,49
71,0;16414;1,97
145,0;23415;4,51
167,0;17895;2,82
89,0;13844;8,2
77,0;4128;8,6
72,0;24031;7,17
515,0;4546;2,98
62,0;8121;2,84
184,0;1376;2,31
114,0;45404;1,2
66,0;213125;3,34
206,0;373706;4,87
64,0;33547;3,49
203,0;5537;3,84
509,0;6733;5,42
110,0;33962;5,36
147,0;18251;1,75
53,0;7966;1,13
266,0;312518;3,34
125,0;1111;8,8
169,0;143738;4,87
50,0;40449;8,0
132,0;15807;2,36
67,0;4985;8,34
58,0;393;1,53
54,0;20518;3,05
51,0;2904;4,14
66,0;628;1,7
55,0;11631;8,11
85,0;15856;1,99
83,0;43084;3,44
1303,0;28443;8,56
65,0;1262;2,55
62,0;38566;3,24
477,0;3417;2,9
514,0;3112;3,09
230,0;144204;4,36
197,0;5152;3,48
161,0;599;2,81
67,0;248104;7,04
170,0;54804;3,15
47,0;846;3,17
68,0;82715;8,71
101,0;52443;5,59
155,0;566;1,53
35,0;3518;1,16
216,0;6314;6,05
76,0;17094;6,25
80,0;112086;5,77
205,0;10793;5,73
216,0;103891;4,93
124,0;747;2,36
66,0;2856;1,54
57,0;3538;4,96
111,0;575;1,69
52,0;876;2,05
85,0;1014;2,35
79,0;690;1,66
235,0;2069;1,92
90,0;58907;2,24
392,0;5612;2,78
54,0;9563;2,35
62,0;2047;3,03
89,0;28278;2,17
85,0;74084;3,91
135,0;202046;3,07
81,0;3641;3,65
51,0;22444;9,9
113,0;239970;4,99
53,0;16449;1,72
120,0;26165;5,72
284,0;158887;3,1
60,0;18914;5,93
280,0;4555;4,18
80,0;829;1,77
144,0;1120;1,57
147,0;24440;4,24
183,0;15149;2,9
134,0;1683;1,9
53,0;11544;6,11
148,0;3272;4,38
151,0;634;2,09
119,0;5328;3,21
40,0;36076;3,48
79,0;53216;1,7
60,0;23512;1,59
75,0;10797;1,9
118,0;2216;2,96
33,0;13054;3,9
67,0;69481;5,44
62,0;82878;5,07
132,0;18499;3,37
280,0;1031;3,68
56,0;1379;3,27
270,0;12973;6,56
137,0;3449;1,66
83,0;2947;1,73
35,0;50204;1,56
243,0;2908;3,45
82,0;11711;1,33
56,0;25243;1,64
69,0;1234;2,84
72,0;33756;3,84
273,0;11674;4,14
115,0;2948;3,66
62,0;99041;5,5
97,0;17164;2,98
64,0;10901;2,86
46,0;780;1,87
62,0;534;2,89
130,0;25566;8,83
83,0;37773;1,77
65,0;65399;7,22
56,0;17916;1,52
113,0;31485;1,9
299,0;336128;3,21
95,0;7898;4,73
64,0;746;2,2
21,0;62754;1,28
132,0;20496;7,18
61,0;472;1,36
66,0;5942;1,23
79,0;160983;1,69
816,0;23499;4,14
105,0;5745;2,88
116,0;21577;3,7
140,0;96999;5,18
106,0;1108;2,41
114,0;3657;4,97
25,0;227819;1,86
51,0;513;1,91
86,0;8018;8,9
70,0;811;2,25
80,0;12212;3,62
141,0;2883;2,88
241,0;153640;5,63
416,0;4246;5,2
45,0;1275;4,29
138,0;29449;3,95
58,0;1685;5,04
58,0;8277;2,64
62,0;3720;11,59
66,0;46062;5,83
1360,0;26424;7,3
136,0;28571;5,23
67,0;28629;1,12
86,0;2297;3,93
138,0;77861;1,97
148,0;95461;6,36
168,0;12014;7,6
152,0;4183;6,4
78,0;91173;4,34
118,0;61861;2,18
57,0;22550;3,99
81,0;35652;9,9
117,0;132472;7,02
56,0;15277;4,76
84,0;872;2,16
231,0;14290;4,77
133,0;5596;2,41
98,0;17871;6,1
53,0;755;1,17
120,0;21074;1,17
57,0;8480;5,23
89,0;62170;11,01
96,0;15631;2,52
314,0;4589;3,24
344,0;56812;3,95
81,0;700;2,13
107,0;32700;4,26
50,0;5406;1,61
284,0;17708;6,74
132,0;4457;1,86
61,0;21583;10,23
46,0;746;2,31
261,0;3847;5,16
57,0;4848;2,44
47,0;2996;5,78
97,0;682;1,96
76,0;18898;2,54
106,0;204344;6,73
216,0;11357;1,41
369,0;140115;1,69
94,0;103604;4,95
65,0;25099;2,25
68,0;15727;1,01
47,0;31930;8,7
224,0;255385;5,66
147,0;8793;1,45
175,0;2148;4,67
101,0;2820;3,87
159,0;58149;5,21
89,0;26451;5,2
120,0;4857;6,62
99,0;149649;4,44
413,0;104310;8,04
105,0;23538;6,14
92,0;91043;11,82
65,0;3091;2,48
209,0;6841;4,34
1158,0;19769;6,35
64,0;4623;5,43
233,0;220815;3,09
34,0;57871;1,31
64,0;1941;2,18
133,0;3200;1,03
104,0;6121;4,05
68,0;58793;2,15
154,0;170928;3,85
55,0;21864;12,28
50,0;69529;2,29
83,0;139791;5,31
152,0;32165;5,73
120,0;84365;4,61
263,0;5903;4,96
100,0;17690;5,93
73,0;2611;6,98
180,0;21557;6,04
306,0;215020;3,79
116,0;124338;8,48
241,0;23820;6,5
224,0;7022;1,58
147,0;23954;1,17
133,0;16032;6,9
194,0;45808;3,36
80,0;116821;9,73
49,0;4913;9,34
70,0;12192;5,34
221,0;161440;6,35
112,0;36505;5,77
121,0;39437;3,49
121,0;58475;5,15
52,0;764;1,9
44,0;169485;8,8
170,0;50766;2,73
78,0;73621;1,46
102,0;82020;9,06
224,0;19243;2,18
126,0;3500;3,94
81,0;4657;2,87
90,0;55742;2,4
40,0;46344;4,18
118,0;309141;6,09
98,0;1027;1,97
61,0;7777;7,0
190,0;4952;4,78
182,0;2979;5,54
99,0;1883;2,11
162,0;8597;4,37
75,0;6670;5,87
140,0;941;1,94
312,0;24856;2,34
59,0;23474;3,44
125,0;58445;8,46
127,0;46961;6,15
457,0;3867;4,89
88,0;22061;2,87
112,0;655;1,75
325,0;1007;2,43
148,0;99207;4,31
172,0;9247;5,3
205,0;4947;2,35
85,0;20198;9,88
106,0;39421;1,08
180,0;1589;3,84
