video_id;audience_female_age13-17;audience_male_age13-17;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_male_ageage13-17;audience_female_ageage18-24;audience_male_ageage18-24;audience_female_ageage25-34;audience_male_ageage25-34;audience_genderUserSpecified_ageage25-34;audience_female_ageage35-44;audience_male_ageage35-44;audience_genderUserSpecified_ageage35-44;audience_female_ageage45-54;audience_male_ageage45-54;audience_genderUserSpecified_ageage45-54;audience_female_ageage55-64;audience_male_ageage55-64;audience_female_ageage65-;audience_male_ageage65-;audience_female_ageage13-17;audience_genderUserSpecified_ageage65-;audience_genderUserSpecified_ageage55-64;audience_genderUserSpecified_ageage18-24
qhklwteBco4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,50;3,40;1,50;9,30;nan;2,20;11,60;nan;2,60;11,20;nan;6,10;17,00;11,70;22,90;nan;nan;nan;nan
3pjQ0YaIRAM;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,80;0,80;6,50;nan;1,80;11,00;0,00;2,90;13,00;0,00;6,80;18,70;12,60;23,70;nan;0,10;0,00;nan
7KNJ7nqLPdg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,40;1,00;1,50;3,50;nan;4,20;6,00;nan;6,70;7,30;nan;14,30;14,10;20,20;20,70;nan;0,00;0,00;nan
m4vXMvXnRqs;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;6,80;nan;2,20;15,50;nan;2,10;15,50;nan;5,40;20,20;7,90;24,50;nan;nan;nan;nan
AxH79z9tTAE;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;11,00;1,90;18,50;nan;1,50;16,00;nan;nan;13,40;nan;2,60;11,20;9,40;14,40;nan;nan;nan;nan
fVF95sJFONY;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,60;1,50;2,10;0,00;4,60;5,90;0,00;6,70;8,70;0,00;13,50;17,50;16,30;21,90;0,00;0,10;0,10;0,00
4yARrfZ9oe8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,40;2,70;0,40;8,20;nan;0,80;10,00;nan;1,90;9,90;nan;6,80;16,80;14,10;27,90;nan;nan;nan;nan
QdS9xWQ_IDQ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;1,90;0,80;6,60;nan;2,10;11,00;nan;3,20;10,60;nan;9,60;16,80;17,40;19,90;nan;nan;nan;nan
Har6_YjZiao;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;0,60;0,40;1,60;nan;0,90;4,10;nan;2,20;6,70;nan;6,80;17,20;22,40;37,00;nan;0,10;0,00;nan
rZ_aVHkdd3s;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;0,50;0,30;2,80;nan;0,70;8,30;nan;1,00;13,50;nan;2,50;24,30;6,30;39,50;nan;0,10;0,00;nan
TsOpzClm0q0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;0,90;0,20;5,60;nan;0,60;14,00;nan;0,80;18,50;0,00;1,50;26,60;2,50;28,60;nan;0,00;0,00;nan
zXBi_jk3Fxk;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;11,90;nan;nan;12,80;nan;nan;9,80;nan;4,30;21,70;12,80;26,80;nan;nan;nan;nan
OepO2hxE-Co;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;0,00;5,60;nan;nan;8,10;nan;nan;14,10;nan;nan;21,50;14,60;36,00;nan;nan;nan;nan
oAVEPsqiCPo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;2,40;0,60;10,70;nan;1,20;17,50;nan;1,70;17,10;nan;3,10;22,40;4,80;18,40;nan;nan;nan;nan
q-K4Jeff8gs;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;0,60;0,70;2,60;nan;2,20;7,60;nan;3,30;10,70;0,00;7,40;21,10;12,70;30,80;nan;0,10;0,00;nan
kQUQcfyVQdw;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,60;2,90;1,50;7,60;nan;3,60;10,50;nan;4,30;10,30;nan;8,30;15,30;14,60;20,40;nan;0,10;nan;nan
oNe2Z5__ZCg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,50;1,30;6,10;nan;2,90;8,40;nan;4,20;9,10;nan;8,10;17,30;13,60;27,10;nan;nan;nan;nan
SM2Ak1Ob1Kc;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;0,40;0,40;1,20;nan;0,90;2,70;nan;2,30;5,90;nan;8,80;16,50;23,60;37,20;nan;0,10;nan;nan
vmDVakVj8S0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,70;2,60;1,00;7,20;nan;1,70;12,20;nan;3,10;13,10;nan;6,50;20,40;10,00;21,50;nan;nan;nan;nan
Dquy_JgGjvo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;3,90;nan;11,50;nan;1,00;10,50;nan;2,30;10,10;nan;4,60;17,70;14,00;24,50;nan;nan;nan;nan
Jw4WgM4Npp4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;1,80;nan;4,50;nan;0,90;8,00;nan;1,90;10,70;nan;5,80;21,60;11,60;33,00;nan;nan;nan;nan
FpR6RCOUT4U;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;4,00;0,40;18,00;nan;0,90;21,70;nan;1,10;17,40;nan;2,20;18,40;2,80;13,10;nan;nan;nan;nan
U_PTQSKSGkE;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;1,20;0,70;2,60;nan;1,10;4,40;nan;2,40;7,40;0,00;7,30;17,80;19,60;34,90;nan;0,20;0,10;0,00
gDRZrXDFTVk;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,20;1,50;0,50;4,80;nan;1,20;9,60;0,00;2,30;11,80;0,00;6,10;21,90;10,90;28,90;nan;0,10;0,10;nan
AzKLX5XjClM;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,70;5,80;1,60;9,30;nan;2,80;10,30;nan;3,50;8,80;nan;6,70;14,30;14,30;22,10;nan;nan;nan;nan
