video_id;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-
y3EzVIe_Z0E;nan;nan;nan;nan;nan;11,30;nan;12,90;6,30;21,10;21,10;27,20
RqCPdl-oC80;0,10;2,90;0,40;8,90;1,00;17,60;1,00;18,30;1,80;24,10;1,80;22,10
mYJ3gZ2_AV8;nan;nan;nan;12,30;5,60;29,90;nan;20,10;6,00;26,10;nan;
2eX_wNozx1k;nan;nan;nan;7,60;nan;21,90;2,10;17,70;3,00;19,50;7,10;21,10
IP_5oi1eQUg;1,60;5,30;2,80;13,00;1,80;15,40;3,30;12,50;2,90;14,90;7,30;19,30
kU_aHjzMU6o;nan;0,60;0,20;3,20;0,60;8,90;1,20;15,00;3,40;26,90;7,00;32,90
qXFCxsgthSA;0,40;5,20;1,00;12,40;1,90;13,00;2,20;10,50;5,20;16,20;11,30;20,70
tG_yG8dAZUU;0,10;2,80;0,30;8,40;0,80;14,60;0,90;16,60;2,00;23,50;3,20;26,80
JobR36yx8M4;1,40;8,00;3,10;17,60;2,90;13,90;2,80;10,10;4,90;13,10;7,70;14,30
pMTu7PF-tRg;0,20;1,60;0,60;4,70;1,10;8,00;2,00;11,20;5,80;22,10;12,50;30,00
Y_MGXKGuJRo;nan;nan;nan;9,90;nan;10,10;nan;9,10;3,00;25,60;14,50;27,80
tl-MBWTxmm4;0,70;5,90;1,70;13,40;2,90;16,00;3,40;13,50;5,80;16,90;6,20;13,60
9MzWviefiGA;0,90;3,00;1,00;5,50;nan;7,00;1,20;7,70;3,70;22,30;11,70;36,00
52ueAJP7p58;nan;1,90;1,00;4,60;1,10;8,50;3,00;9,80;8,40;19,90;14,30;27,40
u4uIWNFiZ9A;0,30;6,60;1,70;16,20;2,20;22,10;2,90;15,20;5,40;14,70;3,50;9,30
wNBgZzVHoV4;1,20;1,70;5,20;6,70;9,70;10,60;9,60;6,80;15,50;7,10;17,60;8,20
Eqx_MXiGbqM;0,30;4,40;1,10;14,90;1,50;18,70;1,60;15,80;2,80;18,30;3,00;17,60
KPi3oAeVbu4;0,40;6,80;1,10;15,00;2,00;15,40;2,70;12,00;5,70;14,60;8,20;15,90
ilDWdIk-PBw;nan;nan;nan;17,70;4,40;24,00;2,70;16,90;3,50;17,50;nan;13,20
E1vw88UZ4X0;nan;nan;nan;9,80;nan;20,60;nan;11,80;nan;29,60;nan;28,20
r6rLnH-pUT4;nan;2,30;0,50;7,10;1,10;12,60;1,80;13,90;3,20;21,10;5,90;30,70
guDFrgeAaZI;0,10;0,90;0,50;3,70;0,90;9,00;1,50;13,00;3,80;23,70;8,00;34,60
yhLUWZnFbM8;0,70;12,50;1,90;32,10;1,70;24,90;1,50;10,50;1,50;6,50;1,70;4,60
