video_id,title,publish_date,video_length_seconds,privacy_status,wiedergabezeit_minuten,durchschnittliche_wiedergabedauer,durchschnittliche_wiedergabedauer_prozent,gewonnene_abonnenten,verlorene_abonnenten,aufrufe,likes,dislikes,geteilte_inhalte,kommentare,audience_female_age18-24,audience_male_age18-24,audience_female_age25-34,audience_male_age25-34,audience_female_age35-44,audience_male_age35-44,audience_female_age45-54,audience_male_age45-54,audience_female_age55-64,audience_male_age55-64,audience_female_age65-,audience_male_age65-,audience_female_age13-17,audience_male_age13-17,Neue Zuschauer,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Mag ich und Mag ich nicht im Vergleich (%),Mag ich nicht-Bewertungen,Im Feed angezeigt,Geschätzter Umsatz (EUR),Impressionen,Klickrate der Impressionen (%),Thema,Bewertung_Titel,Gestaltung_Thumbnail
X_EBEeJKNHI,"""Schneller! Noch schneller!"" - Scholz hat mit faulem Messe-Roboter zu kämpfen | ntv",2024-04-22T19:24:33Z,79,public,4513,54,68.98,2,1,4969,52,7,339,29,,6.6,2.6,27.5,2.0,24.6,0.8,11.3,2.8,10.0,3.5,8.5,,,2340,27,0,0,8814,7,0,,29710,78,,,
Xj0VeJM_qpg,Selfie-Einigkeit längst verflogen: Koalition des Krachs - wie die Ampel ihren Ruf verspielt | ntv,2024-04-22T19:09:20Z,157,public,7182,67,43.01,6,0,6382,85,50,24,90,0.3,5.9,1.2,12.5,1.6,13.7,3.2,11.4,6.4,14.0,12.8,16.9,,,776,9,0,0,6296,50,0,,174484,231,,,
CeCUzZDhA7Q,"Matthias Voelkel, CEO Börse Stuttgart: ""Es gibt nicht nur Sparer..."" | ntv",2024-04-22T13:58:33Z,249,public,428,71,28.57,0,0,361,4,2,2,4,,,,,,,,46.7,,,,53.3,,,44,0,0,0,6667,2,0,,14134,156,,,
RlbSQg7d6CY,"BDI -Präsident Russwurm -  ""Es muss sich jetzt etwas ändern.""",2024-04-22T13:00:18Z,201,public,21670,95,47.46,10,0,13631,281,41,71,85,0.4,1.6,0.6,4.2,1.6,7.2,3.3,9.0,9.6,18.1,19.2,25.3,,,1871,0,0,0,8727,41,0,,497935,139,,,
5JMv8KBHP5k,LIVE: Bundesvorsitzender Omid Nouripour (Bündnis 90/Die Grünen) zur Gremiensitzung,2024-04-22T12:20:57Z,684,public,808,128,18.77,0,0,378,3,16,0,0,,,,,,,,,,51.7,,48.3,,,18,0,0,0,1579,16,0,,14557,207,,,
8u9Ue8xILPU,"Fünf der ""Großen Sieben"" berichten: ""Das wird eine spannende Woche an der Börse"" | ntv",2024-04-22T12:09:52Z,206,public,950,92,45.15,0,0,613,4,1,3,3,,,,,,,,,11.2,28.1,14.6,46.1,,,74,0,0,0,80,1,0,,16458,204,,,
Xi4y1CXSYBc,"Siemens-Chef Busch: ""Ich hoffe, dass wir die richtigen Dinge tun, und zwar schnell genug"" | ntv",2024-04-22T11:07:43Z,307,public,1689,131,42.88,0,0,770,11,3,12,9,,21.2,,,,16.2,,13.7,,17.4,8.7,22.8,,,75,0,0,0,7857,3,0,,15606,281,,,
ApnK8eYoHhI,Ukraine erwartet Hilfspaket aus den USA - Wolfgang Richter (Oberst a.D.) im #ntv #ukraine - Talk,2024-04-22T10:48:46Z,47,public,9074,34,74.09,7,0,15636,206,84,42,0,,0.5,0.3,2.4,0.3,6.4,1.3,10.5,4.0,23.8,11.8,38.7,,,253,0,0,0,7103,84,24693,,51594,38,,,
naVKpNjPZBY,Berlin: Diebe sprengen Geldautomaten - Geldscheine auf der Straße | #ntv #shorts #berlin #geld,2024-04-22T10:38:19Z,42,public,610,24,57.65,0,0,1512,16,0,7,0,1.8,5.1,1.9,9.9,,10.2,1.4,9.1,6.5,16.7,13.1,24.3,,,187,0,0,0,100,0,3099,,6701,236,,,
KTLfHVovoy0,In letzter Sekunde: Helfer retten Mann aus brennendem Unfallauto | #ntv #shorts #usa #unfall #feuer,2024-04-22T10:23:23Z,60,public,4448,26,44.96,3,1,9894,166,5,25,0,0.3,2.0,0.5,6.9,1.5,13.0,1.8,15.3,4.3,24.4,7.8,22.2,,,841,0,0,0,9708,5,17625,,11815,406,,,
